Module,DICOM Reference,Attribute Name,Tag,DICOM Type,MADO IHE Usage,in_dicom,in_mado,difference_type,DICOM Description,MADO Description,MADO instruction,EU-MADO Profile,EU-MADO Field,Consumer Obligation,Producer Obligation,DICOM-KOS Match,Review comment
SOP Common,C.12.1,Instance Coercion DateTime,"(0008,0015)",3,,Y,,dicom_only,"Date and time that the SOP Instance was last coerced, corrected or converted by a Storage SCP (see Section B.4.1.3 “Coercion of Attributes” in PS3.4).",,,,,,,,
SOP Common,C.12.1,Instance Creator UID,"(0008,0014)",3,,Y,,dicom_only,"Uniquely identifies device that created the SOP Instance. Note There is no requirement that the Instance Creator UID (0008,0014) be the same as the Device UID (0018,1002) in the General Equipment Module, though they may be.",,,,,,,,
SOP Common,C.12.1,Related General SOP Class UID,"(0008,001A)",3,,Y,,dicom_only,Uniquely identifies a Related General SOP Class for the SOP Class of this Instance. See PS3.4.,,,,,,,,
SOP Common,C.12.1,Original Specialized SOP Class UID,"(0008,001B)",3,,Y,,dicom_only,The SOP Class in which the Instance was originally encoded that has been replaced during a fall-back conversion to the current Related General SOP Class. See PS3.4.,,,,,,,,
SOP Common,C.12.1,Synthetic Data,"(0008,001C)",3,,Y,,dicom_only,"Whether or not some or all of the content of this instance was made artificially rather than being a faithful representation of acquired data. Note Since synthetic data may be intended for use in training or testing, the data may be otherwise indistinguishable from acquired patient data. For example, the Value of Manufacturer's Model Name (0008,1090) in the Equipment Module may reflect the model, whose output the instance is simulating, even though such a model did not create this instance. Similarly, the Value of KVP (0018,0060) may reflect the technique being simulated even though no X-Rays were involved. The equipment that synthesized the data may be recorded as additional Item(s) of the Contributing Equipment Sequence (0018,A001) in the SOP Common Module. The Purpose of Reference code value of (109100, DCM, ""Synthesizing Equipment"") can be used. The use of this Attribute to indicate synthetic data is not restricted to images, since any type of SOP Instance may be created artificially Enumerated Values: YES NO If data with a Synthetic Data (0008,001C) Value of YES is used to derive other content then it is expected that this derived content will also have a Synthetic Data (0008,001C) Value of YES.",,,,,,,,
SOP Common,C.12.1,Sensitive Content Code Sequence,"(0008,001D)",3,,Y,,dicom_only,"Indicates the potential presence of sensitive content in the instance. See Section C.12.1.1.11. One or more Items are permitted in this Sequence. If this Attribute is absent, then the instance may or may not contain sensitive content.",,,,,,,,
SOP Common,C.12.1,Coding Scheme Identification Sequence,"(0008,0110)",3,,Y,,dicom_only,"Sequence of Items that map Values of Coding Scheme Designator (0008,0102) to an external coding system registration, or to a private or local Coding Scheme. One or more Items are permitted in this Sequence.",,,,,,,,
SOP Common,C.12.1,>Coding Scheme Designator,"(0008,0102)",1,,Y,,dicom_only,"The value of a Coding Scheme Designator, used in this SOP Instance, which is being mapped.",,,,,,,,
SOP Common,C.12.1,>Coding Scheme Registry,"(0008,0112)",1C,,Y,,dicom_only,The name of the external registry where further definition of the identified Coding Scheme may be obtained. Required if Coding Scheme is registered. Defined Terms: HL7,,,,,,,,
SOP Common,C.12.1,>Coding Scheme UID,"(0008,010C)",1C,,Y,,dicom_only,The Coding Scheme UID identifier. Required if Coding Scheme is identified by an ISO 8824 object identifier compatible with the UI VR.,,,,,,,,
